"Inventory ID","URI","Thickness","Unit"
"09_840","http://www.ashmolean.org/id/object/AN1909.840","1,3","http://qudt.org/vocab/unit/CM"
"1891_471","http://www.ashmolean.org/id/object/AN1891.471","1,1","http://qudt.org/vocab/unit/CM"
"1909 3-10 1","http://collection.britishmuseum.org/id/object/GAA58725","3,8","http://qudt.org/vocab/unit/CM"
"1909 3-10 10","http://collection.britishmuseum.org/id/object/GAA58719","1,3","http://qudt.org/vocab/unit/CM"
"1909 3-10 100","http://collection.britishmuseum.org/id/object/GAA58780","1,15","http://qudt.org/vocab/unit/CM"
"1909 3-10 101","http://collection.britishmuseum.org/id/object/GAA58782","1,1","http://qudt.org/vocab/unit/CM"
"1909 3-10 102","http://collection.britishmuseum.org/id/object/GAA58783","1,3","http://qudt.org/vocab/unit/CM"
"1909 3-10 103","http://collection.britishmuseum.org/id/object/GAA58789","1,15","http://qudt.org/vocab/unit/CM"
"1909 3-10 104","http://collection.britishmuseum.org/id/object/GAA58795","1,3","http://qudt.org/vocab/unit/CM"
"1909 3-10 105","http://collection.britishmuseum.org/id/object/GAA58790","1,3666667","http://qudt.org/vocab/unit/CM"
"1909 3-10 106","http://collection.britishmuseum.org/id/object/GAA58794","1,4","http://qudt.org/vocab/unit/CM"
"1909 3-10 107","http://collection.britishmuseum.org/id/object/GAA58791","1,3","http://qudt.org/vocab/unit/CM"
"1909 3-10 108","http://collection.britishmuseum.org/id/object/GAA58792","1,1","http://qudt.org/vocab/unit/CM"
"1909 3-10 109","http://collection.britishmuseum.org/id/object/GAA58793","1,3","http://qudt.org/vocab/unit/CM"
"1909 3-10 11","http://collection.britishmuseum.org/id/object/GAA58718","1,45","http://qudt.org/vocab/unit/CM"
"1909 3-10 110","http://collection.britishmuseum.org/id/object/GAA58712","1,4","http://qudt.org/vocab/unit/CM"
"1909 3-10 111","http://collection.britishmuseum.org/id/object/GAA58800","1,35","http://qudt.org/vocab/unit/CM"
"1909 3-10 112","http://collection.britishmuseum.org/id/object/GAA58799","1,5","http://qudt.org/vocab/unit/CM"
"1909 3-10 113","http://collection.britishmuseum.org/id/object/GAA58701","1,25","http://qudt.org/vocab/unit/CM"
"1909 3-10 114","http://collection.britishmuseum.org/id/object/GAA58788","1,5","http://qudt.org/vocab/unit/CM"
"1909 3-10 115","http://collection.britishmuseum.org/id/object/GAA58797","1,35","http://qudt.org/vocab/unit/CM"
"1909 3-10 119","http://collection.britishmuseum.org/id/object/GAA58730","1,55","http://qudt.org/vocab/unit/CM"
"1909 3-10 12","http://collection.britishmuseum.org/id/object/GAA58804","1,3","http://qudt.org/vocab/unit/CM"
"1909 3-10 123","http://collection.britishmuseum.org/id/object/GAA58716","1,15","http://qudt.org/vocab/unit/CM"
"1909 3-10 124","http://collection.britishmuseum.org/id/object/GAA58717","1,15","http://qudt.org/vocab/unit/CM"
"1909 3-10 125","http://collection.britishmuseum.org/id/object/GAA58735","1,1","http://qudt.org/vocab/unit/CM"
"1909 3-10 126","http://collection.britishmuseum.org/id/object/GAA58723","1,15","http://qudt.org/vocab/unit/CM"
"1909 3-10 127","http://collection.britishmuseum.org/id/object/GAA58724","1,45","http://qudt.org/vocab/unit/CM"
"1909 3-10 128","http://collection.britishmuseum.org/id/object/GAA58697","1,25","http://qudt.org/vocab/unit/CM"
"1909 3-10 129","http://collection.britishmuseum.org/id/object/GAA58699","1,4","http://qudt.org/vocab/unit/CM"
"1909 3-10 13","http://collection.britishmuseum.org/id/object/GAA58802","1,45","http://qudt.org/vocab/unit/CM"
"1909 3-10 130","http://collection.britishmuseum.org/id/object/GAA58700","1,4","http://qudt.org/vocab/unit/CM"
"1909 3-10 131","http://collection.britishmuseum.org/id/object/GAA58695","1,5","http://qudt.org/vocab/unit/CM"
"1909 3-10 132","http://collection.britishmuseum.org/id/object/GAA58696","1,1","http://qudt.org/vocab/unit/CM"
"1909 3-10 133","http://collection.britishmuseum.org/id/object/GAA58757","1,15","http://qudt.org/vocab/unit/CM"
"1909 3-10 134","http://collection.britishmuseum.org/id/object/GAA58703","1,4","http://qudt.org/vocab/unit/CM"
"1909 3-10 135","http://collection.britishmuseum.org/id/object/GAA58698","1,5","http://qudt.org/vocab/unit/CM"
"1909 3-10 136","http://collection.britishmuseum.org/id/object/GAA58760","1,2","http://qudt.org/vocab/unit/CM"
"1909 3-10 139","http://collection.britishmuseum.org/id/object/GAA58761","1,45","http://qudt.org/vocab/unit/CM"
"1909 3-10 14","http://collection.britishmuseum.org/id/object/GAA58805","1,15","http://qudt.org/vocab/unit/CM"
"1909 3-10 140","http://collection.britishmuseum.org/id/object/GAA58714","2,0111111","http://qudt.org/vocab/unit/CM"
"1909 3-10 141","http://collection.britishmuseum.org/id/object/GAA58803","1,5","http://qudt.org/vocab/unit/CM"
"1909 3-10 142","http://collection.britishmuseum.org/id/object/GAA58762","0,85","http://qudt.org/vocab/unit/CM"
"1909 3-10 143","http://collection.britishmuseum.org/id/object/GAA58758","1,65","http://qudt.org/vocab/unit/CM"
"1909 3-10 146","http://collection.britishmuseum.org/id/object/GAA58692","1,35","http://qudt.org/vocab/unit/CM"
"1909 3-10 147A","http://collection.britishmuseum.org/id/object/GAA58711","1,6","http://qudt.org/vocab/unit/CM"
"1909 3-10 147B","http://collection.britishmuseum.org/id/object/GAA58711","1,35","http://qudt.org/vocab/unit/CM"
"1909 3-10 147C","http://collection.britishmuseum.org/id/object/GAA58711","1,5","http://qudt.org/vocab/unit/CM"
"1909 3-10 148","http://collection.britishmuseum.org/id/object/GAA58693","1,3","http://qudt.org/vocab/unit/CM"
"1909 3-10 15","http://collection.britishmuseum.org/id/object/GAA58812","1,65","http://qudt.org/vocab/unit/CM"
"1909 3-10 16","http://collection.britishmuseum.org/id/object/GAA58813",1,"http://qudt.org/vocab/unit/CM"
